symbol,price,volume,turnover,signals,smile_long_daily,smile_short_daily,blue_days,smile_long_weekly,smile_short_weekly,blue_weeks,gold_vol_count,double_vol_count,pink_daily,blue_daily,max_blue_daily,pink_weekly,blue_weekly,max_blue_weekly,vol_times,vol_color,DIF,DEA,MACD,EMAMACD,V1,V2,V3,V4,补血,失血,零轴下金叉,零轴上金叉,零轴上死叉,零轴下死叉,先机信号,底背离,顶背离,next_week_close,next_week_high,next_week_low,price_change_pct,max_gain_pct,max_drawdown_pct,next_week_avg_volume,volume_change_pct
ACRE,5.95,581867.0,3462108.65,", , 日BLUE>150(3天), 周PINK上穿10, , , , 倍量柱(1次)",False,False,3,True,False,0,0,1,6.835663689723225,0.0,199.63187231956536,5.372016033119445,141.56496252627304,141.56496252627304,0.7276593775714633,2,-0.3598165678344536,-0.22925270861107946,-0.26112771844674826,-0.28783183986709626,0.05797560975609756,-0.005647391374473842,-0.005117687664068718,-5.826740814456372e-05,1,0,0,0,0,0,0,0,0,5.71,6.205,5.69,-4.033613445378159,4.285714285714293,-4.369747899159659,534930.6,-8.06651691881478
ADBE,441.0,2451308.0,1081026828.0,"日PINK上穿10, , , 周PINK上穿10, , , , ",True,False,0,True,False,0,0,0,8.537031415679415,0.0,113.49451462822556,3.408294578388463,0.0,105.27284920654941,1.101889743958573,2,-23.618144959874883,-19.342279823581524,-8.551730272586717,-14.337305739387471,4.323609756097561,-0.3388476880053144,-0.3563048446011251,0.001920287225539178,1,0,0,0,0,0,0,0,0,419.58,450.12,415.51,-4.857142857142859,2.068027210884349,-5.7800453514739285,3881312.8,58.336398363649124
ADNT,16.75,794409.0,13306350.75,", , 日BLUE>150(4天), , , 周BLUE>150(4周), , 倍量柱(1次)",False,False,4,False,False,4,0,1,11.00458050230105,0.0,200.0,2.3723103083499493,0.0,181.9334050607092,1.5996733835809804,2,-0.9210993840492918,-0.8623393692824144,-0.11752002953375484,-0.21952295849240405,0.1649512195121951,-0.01413515650837513,-0.01472526606588385,6.491205132595918e-05,0,1,0,0,0,0,0,0,0,17.02,17.98,16.28,1.6119402985074638,7.343283582089555,-2.8059701492537226,943426.6,18.758297048497695
AGGH,20.54,168171.0,3454232.34,", , , , , 周BLUE>150(2周), 黄金柱(1次), 倍量柱(2次)",False,False,0,False,False,2,1,2,34.939228354743825,0.0,129.60393215667747,10.459331748969204,0.0,200.0,2.0651963011629477,3,-0.12549013942976117,-0.09861661577961958,-0.05374704730028318,-0.09016228994596477,0.20065853658536584,-0.0019539851923654206,-0.002178339211588617,2.4678942114551597e-05,1,0,0,0,0,0,0,0,0,20.52,20.69,20.31,-0.09737098344693162,0.7302823758519983,-1.1197663096397248,85328.0,-49.2611686913915
AGQI,13.36,6465.0,86372.4,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(1次)",True,False,1,True,False,0,0,1,6.817079314608307,0.0,158.49396494121999,3.756347754301469,0.0,134.4473852770457,0.6040362515182659,1,-0.2263880335557964,-0.16906884736706446,-0.11463837237746388,-0.12176038553363429,0.13058560975609756,-0.003557267383221374,-0.0033549360554136695,-2.225644605884751e-05,1,0,0,0,0,0,0,0,0,13.553,13.66,13.35,1.444610778443134,2.2455089820359264,-0.07485029940119681,6823.4,5.543696829079647
AHH,10.08,393125.0,3962700.0,", , 日BLUE>150(4天), 周PINK上穿10, , , , 倍量柱(1次)",False,False,4,True,False,1,0,1,17.260395565445393,0.0,189.23921701303445,5.648046057034414,0.0,164.32506979382038,0.5411367140182799,2,-0.3081662869595192,-0.23720765305523514,-0.14191726780856811,-0.18338577132762457,0.09860975609756098,-0.004821676158475327,-0.004803712252148604,-1.9760296959395358e-06,1,0,0,0,0,0,0,0,0,9.82,10.26,9.715,-2.5793650793650813,1.7857142857142794,-3.6210317460317443,579348.6,47.37007313195547
AIYY,8.6,505902.0,4350757.2,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(1次)",True,False,0,True,False,0,0,1,9.632426513400251,0.0,100.90112620902804,8.958535870134956,0.0,147.1239064808007,1.114392769582198,1,-0.4856571195531174,-0.17225754659522552,-0.6267991459157838,-0.6816902887176917,0.08385365853658537,-0.007448934810296709,-0.006512637568958405,-0.00010299269654721348,1,0,0,0,0,0,0,0,0,8.34,9.29,8.27,-3.023255813953485,8.02325581395349,-3.8372093023255838,653262.4,29.12825013540172
AMDL,7.64,8205820.0,62692464.8,"日PINK上穿10, , 日BLUE>150(3天), , , 周BLUE>150(2周), , ",True,False,3,False,False,2,0,0,7.724853710855465,0.0,181.91477019187272,3.2164612467398683,0.0,200.0,0.9163340518475993,1,-0.9060770566467422,-0.9720778099434806,0.13200150659347676,0.0821094544341903,0.07490243902439024,-0.014360758146767696,-0.01484319117418035,5.306763301539182e-05,0,1,0,0,0,0,0,0,0,7.73,9.0683,7.48,1.178010471204205,18.695026178010487,-2.094240837696326,12572235.8,53.21120619267789
BC,63.74,520976.0,33207010.240000002,", , 日BLUE>150(4天), , , 周BLUE>150(2周), , ",False,False,4,False,False,2,0,0,4.768433222291654,0.0,167.7226067488765,-2.1403876961419126,0.0,185.8196684949959,0.7101025947880703,2,-5.147350888832449,-4.386469117688218,-1.5217635422884612,-2.1767566738349915,0.627670731707317,-0.0776395586730757,-0.07832578402121906,7.54847882957696e-05,1,0,0,0,0,0,1,0,0,65.14,67.53,63.15,2.1964229683087533,5.946030749921549,-0.9256353937872608,630322.2,20.98872116949724
BCE,23.26,2848930.0,66266111.800000004,", , 日BLUE>150(5天), , , 周BLUE>150(5周), , 倍量柱(1次)",False,False,5,False,False,5,0,1,13.743876802804916,0.0,200.0,4.305350574073112,0.0,200.0,0.7534882416976727,2,-1.570042261706039,-1.6834401788295315,0.2267958342469849,-0.09322233865406918,0.22739024390243903,-0.024538117520031932,-0.027566527160867826,0.00033312506049194834,1,0,0,0,0,0,0,0,0,23.63,24.18,23.09,1.5907136715391124,3.9552880481513286,-0.7308684436801438,3343512.2,17.360279122337175
BILD,24.0548,105.0,2525.754,", , 日BLUE>150(5天), , , 周BLUE>150(2周), , 倍量柱(2次)",False,False,5,False,False,2,0,2,0.8266379369928398,0.0,200.00000000000003,-2.925721506039145,169.23063732012207,169.23063732012207,1.0194174757281553,1,-0.7041394064047601,-0.5791619408265628,-0.24995493115639467,-0.35214482177145146,0.23479121951219512,-0.010793265820232184,-0.010928193815437129,1.484207947254389e-05,1,0,0,0,0,0,1,0,0,23.7521,24.1462,23.7521,-1.2583767065201146,0.37996574488252666,-1.2583767065201146,57.8,-44.952380952380956
BIIB,150.0,1082938.0,162440700.0,", , 日BLUE>150(3天), , , 周BLUE>150(5周), , ",False,False,3,False,False,5,0,0,19.013518845766107,0.0,200.0,5.02274514912597,0.0,200.0,0.9655373482847134,2,-3.977629289043108,-5.401909450214415,2.848560322342614,2.102468136360614,1.4730731707317075,-0.06453702210553458,-0.07865079779343367,0.0015525153256689002,0,1,0,0,0,0,0,0,0,150.75,156.37,149.73,0.49999999999998934,4.246666666666665,-0.18000000000000238,1128204.0,4.17992535122047
BRAZ,19.6751,1202.0,23649.4702,", , 日BLUE>150(3天), , , 周BLUE>150(5周), , 倍量柱(3次)",False,False,3,False,False,5,0,3,3.43028782003005,0.0,200.0,1.5338058200021851,200.0,200.0,5.513761467889908,1,-0.9503860030152609,-0.8933351153660287,-0.11410177529846433,-0.1824781420311766,0.1916958536585366,-0.015150559835071159,-0.015179773914383174,3.213548724321641e-06,1,0,0,0,0,0,1,0,0,19.895,20.1221,19.5159,1.1176563270326456,2.2719071313487493,-0.8091445532678487,972.2,-19.118136439267886
BRZU,42.29,116992.0,4947591.68,", , 日BLUE>150(4天), , , 周BLUE>150(4周), , 倍量柱(1次)",False,False,4,False,False,4,0,1,3.5258510750600727,163.22613784523153,166.37087668613506,1.1398185283304063,192.79004981195592,192.79004981195592,0.6831131067422619,2,-4.892968752476001,-4.74009438019735,-0.3057487445573024,-0.9441070225153775,0.40943902439024393,-0.07705062979262611,-0.0801627435494155,0.0003423325132468319,1,0,0,0,0,0,0,0,0,42.77,44.6965,40.61,1.1350200993142767,5.690470560416183,-3.972570347599902,98464.8,-15.836296498905911
BUXX,20.26,97443.0,1974195.1800000002,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(2次)",True,False,0,True,False,0,0,2,5.131089493975194,113.26771987359322,113.26771987359322,9.961584226387307,0.0,0.0,0.8746656373983448,1,-0.011867822466328448,0.0008207823906298925,-0.02537720971391668,-0.007341368823739862,0.19770731707317074,-0.0002576555557287641,-6.188184994917093e-05,-2.1535107635755248e-05,0,1,0,0,0,0,0,0,0,20.29,20.32,20.26,0.14807502467915068,0.29615004935834577,0.0,132952.6,36.441406771138006
BWA,31.32,1946883.0,60976375.56,"日PINK上穿10, , , 周PINK上穿10, , , , ",True,False,2,True,False,0,0,0,5.896601157566192,164.94136300470447,164.94136300470447,2.7338442283080724,0.0,0.0,1.3134850464874814,2,-0.8988669850333153,-0.6663241271775173,-0.46508571571159596,-0.5377070894832762,0.3072682926829268,-0.013469491031561642,-0.012928772171452461,-5.9479074612009893e-05,0,1,0,0,0,0,0,0,0,31.54,32.71,30.71,0.7024265644955285,4.438058748403573,-1.9476372924648766,1749406.4,-10.143218673130338
BWG,8.05,57972.0,466674.60000000003,", , 日BLUE>150(3天), , , 周BLUE>150(2周), , 倍量柱(1次)",False,False,3,False,False,2,0,1,12.40781135381133,0.0,184.40167125848802,16.716562124252672,0.0,200.0,0.6765553701261569,2,-0.16461294165063123,-0.11785766592051426,-0.09351055146023393,-0.11253901890431531,0.0785609756097561,-0.002596008212163159,-0.002526273427600443,-7.670826301898774e-06,1,0,0,0,0,0,0,0,0,8.04,8.1499,7.98,-0.12422360248449671,1.2409937888198774,-0.8695652173913104,62665.2,8.09563237424964
CCRN,18.17,842940.0,15316219.8,", , , , , 周BLUE>150(3周), , 倍量柱(3次)",False,False,0,False,False,3,0,3,98.12210206416235,0.0,0.0,104.31369475455605,0.0,159.5555437715048,3.349040111880999,2,1.4370496101136432,1.7405384170968514,-0.6069776139664165,-0.4031251985385751,0.17687804878048782,0.02070844025199431,0.02289139587007378,-0.00024012511798874168,0,1,0,0,0,0,0,0,0,18.24,18.3,18.0,0.38525041276828986,0.7154650522839701,-0.9356081452944531,658991.6,-21.822241203407124
CGIE,27.47,155450.0,4270211.5,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(1次)",True,False,0,True,False,0,0,1,8.401419219828629,0.0,128.769559191812,8.312302164117586,0.0,0.0,0.7531163854289299,1,-0.40394241006895015,-0.29304514511458796,-0.2217945299087244,-0.240431737956965,0.26814634146341465,-0.006514347512306284,-0.006182248590799914,-3.653088136570077e-05,1,0,0,0,0,0,0,0,0,27.695,28.03,27.37,0.8190753549326635,2.038587550054616,-0.36403349108117267,136591.0,-12.131875201029274
CRAK,27.7521,13869.0,384893.8749,", , 日BLUE>150(3天), , , 周BLUE>150(5周), , 倍量柱(1次)",False,False,3,False,False,5,0,1,15.755265441128817,0.0,163.76944330945054,4.4125827236845545,0.0,199.99999999999997,0.49874136939010355,2,-1.330200446511114,-1.1449766390374763,-0.3704476149472753,-0.6395709218761967,0.2707180487804878,-0.020325141339009867,-0.021475727183526465,0.00012656444289682578,1,0,0,0,0,0,0,0,0,28.0384,28.4299,27.6,1.031633642138785,2.4423376969670896,-0.548066632795341,10671.2,-23.057177878722324
CRAK,27.7521,13869.0,384893.8749,", , 日BLUE>150(3天), , , 周BLUE>150(5周), , 倍量柱(1次)",False,False,3,False,False,5,0,1,15.755265441128817,0.0,163.76944330945054,4.4125827236845545,0.0,199.99999999999997,0.49874136939010355,2,-1.330200446511114,-1.1449766390374763,-0.3704476149472753,-0.6395709218761967,0.2707180487804878,-0.020325141339009867,-0.021475727183526465,0.00012656444289682578,1,0,0,0,0,0,0,0,0,28.0384,28.4299,27.6,1.031633642138785,2.4423376969670896,-0.548066632795341,10671.2,-23.057177878722324
CRML,6.55,51724.0,338792.2,", , , , , 周BLUE>150(3周), , 倍量柱(1次)",False,False,0,False,False,3,0,1,29.540310089398567,0.0,0.0,15.97220539880254,0.0,200.0,5.048213937146204,1,-0.048539700603125624,0.002837786353819414,-0.10275497391389007,-0.11550416562577266,0.06495146341463415,-0.0005057153045454899,-0.0004556292300395226,-5.509468195656395e-06,0,1,0,0,0,0,0,0,0,6.7,7.2799,6.5101,2.2900763358778775,11.143511450381682,-0.6091603053435035,41614.4,-19.54527878741009
CRIT,16.07,542.0,8709.94,", , 日BLUE>150(3天), 周PINK上穿10, , , 黄金柱(1次), 倍量柱(2次)",False,False,3,True,False,0,1,2,12.653565260002374,0.0,170.45553634038689,6.358331554486615,0.0,0.0,0.7002583979328165,2,-0.7338363544272255,-0.6117345127187058,-0.24420368341703935,-0.309011558257845,0.1567270731707317,-0.011352149643534315,-0.01120578013475391,-1.6100645965844584e-05,1,0,0,0,0,0,0,0,0,16.3808,16.57,16.04,1.9340385812072203,3.111387678904798,-0.18668326073429942,1025.6,89.2250922509225
CSAN,5.34,1463215.0,7813568.1,", , 日BLUE>150(3天), , , 周BLUE>150(8周), , 倍量柱(1次)",False,False,3,False,False,8,0,1,5.61171280657665,162.6653723518717,162.6653723518717,2.4187678883912884,200.0,200.0,1.7292251656881377,4,-0.5876911871686428,-0.6437615203889354,0.11214066644058529,0.060158570655091975,0.051829268292682924,-0.009400034173791691,-0.009906239805645912,5.5682619503964295e-05,1,0,0,0,0,0,0,0,0,5.4,5.79,5.09,1.1235955056179803,8.426966292134841,-4.681647940074907,1335134.6,-8.75335477014656
CUT,31.6442,1216.0,38479.347200000004,", , 日BLUE>150(3天), 周PINK上穿10, , , , 倍量柱(2次)",False,False,3,True,False,0,0,2,15.147957143348213,0.0,173.14859357301427,7.381001157572278,126.61439382364537,126.61439382364537,0.01749287913226113,2,-0.9553926953583058,-0.7167121764102937,-0.47736103789602424,-0.640566117841515,0.30929512195121955,-0.01442190734148835,-0.0142752361483049,-1.6133831250179434e-05,1,0,0,0,0,0,0,0,0,31.49,32.1761,31.318,-0.48729309004494903,1.68087674834565,-1.0308366146086767,3412.2,180.6085526315789
DEO,126.12,879332.0,110901351.84,", , , , , 周BLUE>150(2周), , 倍量柱(2次)",False,False,0,False,False,2,0,2,61.63754528516621,0.0,0.0,32.17996347275712,0.0,163.3767396256637,2.040980600596976,2,0.988352672324524,1.0272185664534348,-0.07773178825782168,0.43650495960157537,1.2316585365853658,0.009405858016730662,0.01152625834025035,-0.0002332440355871657,0,1,0,0,1,0,0,0,0,125.44,127.0,121.38,-0.539169045353638,0.6977481763399851,-3.7583254043767944,1059216.2,20.45691502185749
DIVP,25.0043,222.0,5550.9546,", , 日BLUE>150(3天), 周PINK上穿10, , , , 倍量柱(3次)",False,False,3,True,False,0,0,3,5.12361891484702,0.0,200.0,3.330543933054308,0.0,0.0,0.3255131964809384,1,-0.5270160534664363,-0.4314758081933205,-0.19108049054623166,-0.2400331159413167,0.2443729268292683,-0.008029338659266083,-0.007768347889702111,-2.870898465203697e-05,1,0,0,0,0,0,0,0,0,25.1557,25.32,24.99,0.6054958547129896,1.2625828357522462,-0.05719016329192028,2421.2,990.6306306306305
DMCY,24.78,1720.0,42621.6,", , 日BLUE>150(5天), 周PINK上穿10, , , , 倍量柱(1次)",False,False,5,True,False,0,0,1,1.3568258430959705,189.8557463914253,189.8557463914253,8.770020749220613,0.0,0.0,0.42208588957055215,2,-0.3725851891089178,-0.26093819843895066,-0.22329398133993428,-0.22095252124947418,0.24170731707317072,-0.006073005105490886,-0.005454582394131031,-6.802649824958406e-05,1,0,0,0,0,0,0,0,0,24.9846,25.095,24.72,0.8256658595641619,1.2711864406779627,-0.2421307506053405,901.2,-47.60465116279069
DNL,35.99,387035.0,13929389.65,", , , 周PINK上穿10, , , , 倍量柱(1次)",False,False,1,True,False,0,0,1,1.7337382339499912,154.6524345140579,154.6524345140579,4.647961276083288,0.0,0.0,9.4970922386082,4,-0.5103649723643073,-0.3028870459707127,-0.41495585278718927,-0.4118169619288343,0.3513848780487805,-0.008434912057371402,-0.007580661083392795,-9.396760713764676e-05,1,0,0,0,0,0,0,0,0,36.38,37.01,35.8701,1.0836343428730189,2.8341205890525023,-0.3331480966935252,152515.0,-60.594003126332254
DOGG,19.0056,28145.0,534912.6120000001,"日PINK上穿10, , , , , 周BLUE>150(3周), , 倍量柱(3次)",True,False,2,False,False,3,0,3,8.231178788934079,0.0,177.2810395840037,0.050179722174228836,0.0,200.0,2.759854873504609,1,-0.3194762817076615,-0.2970427557319356,-0.0448670519514518,-0.08672935996079496,0.18569804878048782,-0.004927440227059349,-0.005106091049240102,1.9651590439882827e-05,1,0,0,0,0,0,0,0,0,19.0957,19.29,18.95,0.4740708001852001,1.4964010607399825,-0.2925453550532531,24228.0,-13.917214425297564
DOW,39.55,7046357.0,278683419.34999996,"日PINK上穿10, , , , , 周BLUE>150(7周), , ",True,False,0,False,False,7,0,0,8.518247166318714,0.0,130.6140372751875,2.544185875019833,0.0,187.8526407204046,1.0849295432009805,3,-1.6144932004342607,-1.9027747276401266,0.5765630544117317,0.44048685651420594,0.3882926829268292,-0.025733368943657853,-0.028227683422715852,0.0002743745926963799,0,1,0,0,0,0,0,0,0,38.92,40.6,38.33,-1.5929203539822856,2.6548672566371723,-3.084702907711756,6528389.8,-7.350850943260467
DVDN,26.4398,271.0,7165.1858,", , 日BLUE>150(3天), , , 周BLUE>150(2周), , 倍量柱(2次)",False,False,3,False,False,2,0,2,12.80235981771711,0.0,190.89769915164527,4.34037938168131,0.0,177.46220683734717,6.948717948717949,1,-0.6314220843506284,-0.3912396822360509,-0.48036480422915506,-0.5359283236390735,0.2582180487804878,-0.010081927344213926,-0.009593688887146769,-5.370623027738726e-05,1,0,0,0,0,0,0,0,0,26.0361,26.7401,26.0361,-1.5268648023056164,1.135787713976666,-1.5268648023056164,1146.4,323.0258302583026
DWCR,27.755,12.0,333.06,", , 日BLUE>150(4天), , , 周BLUE>150(3周), 黄金柱(1次), 倍量柱(3次)",False,False,4,False,False,3,1,3,-0.595831996630962,190.67184034598918,190.67184034598918,-0.9806399140736355,164.72249224592125,164.72249224592125,6.0,2,-0.4433661935561517,-0.34018221869131504,-0.20636794972967332,-0.22019581950315245,0.270780487804878,-0.007251726493911259,-0.006907757179732299,-3.7836624559685614e-05,1,0,0,0,0,0,0,0,0,27.9438,28.1855,27.755,0.6802377949918892,1.5510718789407463,0.0,8.6,-28.333333333333332
DYLG,25.9492,816.0,21174.5472,", , , 周PINK上穿10, , , , 倍量柱(3次)",False,False,2,True,False,0,0,3,-3.1213213125178143,173.39139321577431,173.39139321577431,8.792809566371428,128.26649216692715,128.26649216692715,28.137931034482758,1,-1.0971219361698807,-0.3299328284910732,-1.534378215357615,-1.017051653787556,0.2535307317073171,-0.019757139030735504,-0.01192328811878159,-0.0008617236003149306,0,1,0,0,0,0,0,0,0,26.1017,26.1284,25.9492,0.5876867109583239,0.690580056417911,0.0,457.4,-43.94607843137255
ECML,31.7379,183.0,5808.0357,", , 日BLUE>150(4天), 周PINK上穿10, , , , 倍量柱(1次)",False,False,4,True,False,0,0,1,9.69989724681691,0.0,200.0,5.832429025227967,0.0,0.0,0.21453692848769051,1,-1.0739701759246785,-0.8654512010895072,-0.41703794967034247,-0.6447152567821761,0.3096380487804878,-0.015526615209953354,-0.015836827816582737,3.412338672923211e-05,1,0,0,0,0,0,1,0,0,31.9713,32.35,31.7379,0.7353983722930613,1.9286090131987343,0.0,376.4,105.68306010928961
EEA,8.14,26289.0,213992.46000000002,", , 日BLUE>150(3天), , , 周BLUE>150(3周), , 倍量柱(2次)",False,False,3,False,False,3,0,2,3.2101391882058197,186.55453508444788,186.55453508444788,3.832103364662207,170.86023637162555,170.94169124353414,0.5691614886661326,3,-0.17289357580660436,-0.09959169497899219,-0.14660376165522435,-0.12159956955276946,0.07939024390243901,-0.0029667819175726168,-0.002451921165998753,-5.663468267312501e-05,1,0,0,0,0,0,0,0,0,8.2472,8.32,8.07,1.3169533169532954,2.211302211302213,-0.8599508599508643,22905.6,-12.870021682072352
EELV,23.33,101367.0,2364892.11,", , , 周PINK上穿10, , , , 倍量柱(3次)",False,False,2,True,False,0,0,3,0.47281952910065017,176.28501535515124,176.28501535515124,6.836750054897631,0.0,0.0,2.166841238964537,2,-0.44699417272510544,-0.34283486194685836,-0.20831862155649417,-0.2292433008889955,0.22785365853658537,-0.007008058515460103,-0.0067028679219385354,-3.35709652873724e-05,1,0,0,0,0,0,0,0,0,23.3824,23.66,23.3,0.22460351478783558,1.4144877839691539,-0.1285897985426332,74749.0,-26.259038937721346
